Specie	TE_class	TE_order	TE_lineage	Abundance_absolute	Relative_pct
R_nervosa_sub_ciliata	Class_II	Subclass_1	PIF/Harbinger	0	0,0
R_nervosa_sub_ciliata	Class_II	Subclass_1	EnSpm/CACTA	4	0,1115
R_nervosa_sub_ciliata	Class_II	Subclass_1	hAT	35	0,976
R_nervosa_sub_ciliata	Class_II	Subclass_1	MuDR/Mutator	28	0,7808
R_nervosa_sub_ciliata	Class_II	Subclass_1	Merlin	0	0,0
R_nervosa_sub_ciliata	Class_II	Subclass_2	Helitron	21	0,5856
R_tenerrima	Class_I	LTR	Copia	1475	54,569
R_tenerrima	Class_I	LTR	Gypsy	451	16,6852
R_tenerrima	Class_I	LTR	Other	155	5,7344
R_tenerrima	Class_I	LINE	LINE	186	6,8812
R_tenerrima	Class_I	Pararetrovirus	Pararetrovirus	1	0,037
R_tenerrima	Class_II	Subclass_1	PIF/Harbinger	9	0,333
R_tenerrima	Class_II	Subclass_1	EnSpm/CACTA	19	0,7029
R_tenerrima	Class_II	Subclass_1	hAT	86	3,1817
R_tenerrima	Class_II	Subclass_1	MuDR/Mutator	129	4,7725
R_tenerrima	Class_II	Subclass_1	Merlin	0	0,0
R_tenerrima	Class_II	Subclass_2	Helitron	192	7,1032
R_filiformis	Class_I	LTR	Copia	684	51,8968
R_filiformis	Class_I	LTR	Gypsy	266	20,1821
R_filiformis	Class_I	LTR	Other	194	14,7193
R_filiformis	Class_I	LINE	LINE	73	5,5387
R_filiformis	Class_I	Pararetrovirus	Pararetrovirus	24	1,8209
R_filiformis	Class_II	Subclass_1	PIF/Harbinger	6	0,4552
R_filiformis	Class_II	Subclass_1	EnSpm/CACTA	9	0,6829
R_filiformis	Class_II	Subclass_1	hAT	32	2,4279
R_filiformis	Class_II	Subclass_1	MuDR/Mutator	19	1,4416
R_filiformis	Class_II	Subclass_1	Merlin	0	0,0
R_filiformis	Class_II	Subclass_2	Helitron	11	0,8346
R_tenuis	Class_I	LTR	Copia	2961	65,9612
R_tenuis	Class_I	LTR	Gypsy	652	14,5244
R_tenuis	Class_I	LTR	Other	645	14,3685
R_tenuis	Class_I	LINE	LINE	88	1,9603
R_tenuis	Class_I	Pararetrovirus	Pararetrovirus	7	0,1559
R_tenuis	Class_II	Subclass_1	PIF/Harbinger	2	0,0446
R_tenuis	Class_II	Subclass_1	EnSpm/CACTA	11	0,245
R_tenuis	Class_II	Subclass_1	hAT	79	1,7599
R_tenuis	Class_II	Subclass_1	MuDR/Mutator	33	0,7351
R_tenuis	Class_II	Subclass_1	Merlin	0	0,0
