element_group	superfamily	lineage	structural_status	element_length_bp	ltr_length_bp	ltr1_length_bp	ltr2_length_bp
LTR_retrotransposon	Copia	Ale	complete	4776	144		
LTR_retrotransposon	Copia	Ale	complete	4779	163		
LTR_retrotransposon	Copia	Ale	complete	4780	165		
LTR_retrotransposon	Copia	Ale	complete	4780	329		
LTR_retrotransposon	Copia	Ale	complete	4782	295		
LTR_retrotransposon	Copia	Ale	complete	4782	332		
LTR_retrotransposon	Copia	Ale	complete	4783	291		
LTR_retrotransposon	Copia	Ale	complete	4783	255		
LTR_retrotransposon	Copia	Ale	complete	4785	325		
LTR_retrotransposon	Copia	Ale	complete	4785	164		
LTR_retrotransposon	Copia	Ale	complete	4785	201		
LTR_retrotransposon	Copia	Ale	complete	4787	329		
LTR_retrotransposon	Copia	Ale	complete	4788	181		
LTR_retrotransposon	Copia	Ale	complete	4788	164		
LTR_retrotransposon	Copia	Ale	complete	4791	197		
LTR_retrotransposon	Copia	Ale	complete	4792	328		
LTR_retrotransposon	Copia	Ale	complete	4792	329		
LTR_retrotransposon	Copia	Ale	complete	4793	328		
LTR_retrotransposon	Copia	Ale	complete	4793	321		
LTR_retrotransposon	Copia	Ale	complete	4793	162		
LTR_retrotransposon	Copia	Ale	complete	4795	396		
LTR_retrotransposon	Copia	Ale	complete	4796	415		
LTR_retrotransposon	Copia	Ale	complete	4796	199		
LTR_retrotransposon	Copia	Ale	complete	4798	253		
LTR_retrotransposon	Copia	Ale	complete	4799	373		
LTR_retrotransposon	Copia	Ale	complete	4799	331		
LTR_retrotransposon	Copia	Ale	complete	4799	193		
LTR_retrotransposon	Copia	Ale	complete	4800	329		
LTR_retrotransposon	Copia	Ale	complete	4801	163		
LTR_retrotransposon	Copia	Ale	complete	4802	300		
LTR_retrotransposon	Copia	Ale	complete	4802	329		
LTR_retrotransposon	Copia	Ale	complete	4802	348		
LTR_retrotransposon	Copia	Ale	complete	4802	163		
LTR_retrotransposon	Copia	Ale	complete	4804	328		
LTR_retrotransposon	Copia	Ale	complete	4804	395		
LTR_retrotransposon	Copia	Ale	complete	4805	201		
LTR_retrotransposon	Copia	Ale	complete	4806	328		
LTR_retrotransposon	Copia	Ale	complete	4807	318		
LTR_retrotransposon	Copia	Ale	complete	4809	326		
LTR_retrotransposon	Copia	Ale	complete	4809	193		
LTR_retrotransposon	Copia	Ale	complete	4809	165		
LTR_retrotransposon	Copia	Ale	complete	4810	329		
LTR_retrotransposon	Copia	Ale	complete	4811	329		
LTR_retrotransposon	Copia	Ale	complete	4811	329		
LTR_retrotransposon	Copia	Ale	complete	4812	348		
LTR_retrotransposon	Copia	Ale	complete	4813	191		
LTR_retrotransposon	Copia	Ale	complete	4813	303		
LTR_retrotransposon	Copia	Ale	complete	4813	373		
LTR_retrotransposon	Copia	Ale	complete	4813	201		
LTR_retrotransposon	Copia	Ale	complete	4816	408		
LTR_retrotransposon	Copia	Ale	complete	4816	289		
LTR_retrotransposon	Copia	Ale	complete	4817	329		
LTR_retrotransposon	Copia	Ale	complete	4818	360		
LTR_retrotransposon	Copia	Ale	complete	4818	329		
LTR_retrotransposon	Copia	Ale	complete	4819	329		
LTR_retrotransposon	Copia	Ale	complete	4819	367		
LTR_retrotransposon	Copia	Ale	complete	4819	144		
LTR_retrotransposon	Copia	Ale	complete	4819	329		
LTR_retrotransposon	Copia	Ale	complete	4821	170		
LTR_retrotransposon	Copia	Ale	complete	4822	326		
LTR_retrotransposon	Copia	Ale	complete	4824	328		
LTR_retrotransposon	Copia	Ale	complete	4825	329		
LTR_retrotransposon	Copia	Ale	complete	4825	298		
LTR_retrotransposon	Copia	Ale	complete	4825	328		
LTR_retrotransposon	Copia	Ale	complete	4825	254		
LTR_retrotransposon	Copia	Ale	complete	4825	318		
LTR_retrotransposon	Copia	Ale	complete	4826	202		
LTR_retrotransposon	Copia	Ale	complete	4826	166		
